antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"Population Category_Sparsely Populated ', 'Distance Category_far away distance",is_fraud_Fraud,0.1105617504733852,0.7906585314538186,0.0861561119293078,0.7792578496669837,0.9855807768672628,-0.0012604793349424,0.9483529458708474,-0.0161826013238243
"category_gas_transport', 'Amt Category_Sparsely Expensive ', 'Transaction Category_Afternoon Transaction",is_fraud_Fraud,0.0493372606774668,0.7906585314538186,0.0493372606774668,1.0,1.2647684938797232,0.0103283346042666,inf,0.2202058205156578
"Distance Category_far away distance', 'category_grocery', 'Transaction Category_Afternoon Transaction",is_fraud_Fraud,0.057227014517147,0.7906585314538186,0.0504944245739532,0.8823529411764706,1.1159722004821089,0.0052473973163394,1.7794024826425416,0.1102283716432344
"Population Category_Sparsely Populated ', 'category_grocery', 'Transaction Category_Afternoon Transaction",is_fraud_Fraud,0.058278981695771,0.7906585314538186,0.0531243425205133,0.9115523465703972,1.1529026884643687,0.007045568438311,2.366840277032336,0.1408316300798981
"Amt Category_Highly Expensive', 'Distance Category_far away distance', 'category_grocery",is_fraud_Fraud,0.0650115716389648,0.7906585314538186,0.0594361455922575,0.9142394822006472,1.1563012929482908,0.0080341918326888,2.441000520029058,0.1445723775917415
"Amt Category_Highly Expensive', 'Population Category_Sparsely Populated ', 'category_grocery",is_fraud_Fraud,0.0662739322533137,0.7906585314538186,0.0603829160530191,0.9111111111111112,1.1523446277570812,0.0079828661039442,2.35509152114454,0.141587619120896
"Distance Category_far away distance', 'Transaction Category_Afternoon Transaction', 'category_misc",is_fraud_Fraud,0.0381864085840521,0.7906585314538186,0.0326109825373448,0.8539944903581266,1.0801053253518296,0.0024185728047826,1.433791567589883,0.0771088758189765
"Population Category_Sparsely Populated ', 'Transaction Category_Afternoon Transaction', 'category_misc",is_fraud_Fraud,0.0369240479697033,0.7906585314538186,0.0325057858194824,0.8803418803418804,1.1134286740992438,0.0033114722764264,1.7494965585645177,0.1057791116319271
"Amt Category_Highly Expensive', 'Distance Category_far away distance', 'category_misc",is_fraud_Fraud,0.0375552282768777,0.7906585314538186,0.0356616873553545,0.9495798319327732,1.2009986538521744,0.0059683257175454,4.151939126165937,0.1738900813184284
"Amt Category_Highly Expensive', 'Population Category_Sparsely Populated ', 'category_misc",is_fraud_Fraud,0.0361876709446665,0.7906585314538186,0.0351357037660425,0.9709302325581396,1.2280019678948475,0.0065236130001984,7.201346517988656,0.192640259755538
"Distance Category_far away distance', 'Transaction Category_Afternoon Transaction', 'category_shopping_net",is_fraud_Fraud,0.0535451293919629,0.7906585314538186,0.0495476541131916,0.925343811394892,1.17034569865884,0.0072117407416375,2.804073881315953,0.1537861051584309
"Population Category_Sparsely Populated ', 'Transaction Category_Afternoon Transaction', 'category_shopping_net",is_fraud_Fraud,0.0514411950347149,0.7906585314538186,0.0472333263202188,0.9182004089979552,1.1613109483680897,0.0065609065978416,2.5591994529770696,0.1464370813556082
"Amt Category_Highly Expensive', 'Distance Category_far away distance', 'category_shopping_net",is_fraud_Fraud,0.0639596044603408,0.7906585314538186,0.0618556701030927,0.9671052631578948,1.223164267107364,0.0112854631681125,6.363980643803927,0.1949150080351314
"Amt Category_Highly Expensive', 'Population Category_Sparsely Populated ', 'category_shopping_net",is_fraud_Fraud,0.0601725226172943,0.7906585314538186,0.0580685882600462,0.9650349650349652,1.2205458192685443,0.0104926698935846,5.9871660004208005,0.1922633937116958
"Amt Category_Highly Expensive', 'Distance Category_far away distance', 'category_shopping_pos",is_fraud_Fraud,0.0328213759730696,0.7906585314538186,0.0311382284872711,0.9487179487179488,1.1999085711166606,0.0051877275601103,4.082158636650535,0.1722568772818936
"Distance Category_far away distance', 'gender_F', 'Transaction Category_Afternoon Transaction",is_fraud_Fraud,0.1353881758889122,0.7906585314538186,0.1060382916053019,0.7832167832167831,0.9905879112904126,-0.0010075247192367,0.9656719355517396,-0.0108698922466593
"Population Category_Sparsely Populated ', 'gender_F', 'Transaction Category_Afternoon Transaction",is_fraud_Fraud,0.1357037660424994,0.7906585314538186,0.104249947401641,0.7682170542635658,0.9716167266936478,-0.0030453929702741,0.9031789111189764,-0.0326940509073628
"gender_F', 'Amt Category_Sparsely Expensive ', 'Transaction Category_Afternoon Transaction",is_fraud_Fraud,0.0884704397222806,0.7906585314538186,0.0591205554386703,0.6682520808561236,0.8451841778363905,-0.0108293525092216,0.6310257170155503,-0.1673275408946919
"Distance Category_far away distance', 'gender_F', 'Age Category_middle aged",is_fraud_Fraud,0.057227014517147,0.7906585314538186,0.0427098674521354,0.7463235294117647,0.9439264862411172,-0.0025371598054783,0.8252301368777006,-0.0592754612393479
"Population Category_Sparsely Populated ', 'gender_F', 'Age Category_middle aged",is_fraud_Fraud,0.0451293919629707,0.7906585314538186,0.0341889333052808,0.7575757575757576,0.9581579499088811,-0.0014930054695653,0.8635335577529983,-0.0437331175754205
"Population Category_Highly Populated', 'Distance Category_far away distance', 'gender_F",is_fraud_Fraud,0.0606985062066063,0.7906585314538186,0.0476541131916684,0.7850953206239168,0.9929638262175298,-0.0003376785870874,0.9741131237995702,-0.007487453227955
"Distance Category_far away distance', 'gender_F', 'Population Category_Moderately Polulated",is_fraud_Fraud,0.055649063749211,0.7906585314538186,0.0437618346307595,0.7863894139886578,0.9946005547333928,-0.0002375723899716,0.9800144854949552,-0.0057158071301152
